group,algorithm,samples,time_mean,time_var,cover_mean,cover_var,gap_mean,gap_var,iter_best_mean,iter_best_var
BA_scale_free,ACO,4,0.5557080779999524,0.0003345276209485142,27.5,0.25,0.293859649122807,0.016178054786088025,1.25,0.1875
BA_scale_free,GA,4,0.08083507724995798,1.0115136222192955e-05,27.5,0.25,0.293859649122807,0.016178054786088025,1,0.5
BA_scale_free,SA,4,0.08240024449997918,3.460987773833781e-05,35.75,3.1875,0.6924342105263158,0.06832961824792244,3.75,12.6875
ER_dense,ACO,4,0.7042798822499208,0.0009273363902204403,27.5,0.25,0.4473684210526315,0.0006925207756232686,1,0
ER_dense,GA,4,0.09866597050006476,7.286303667659691e-06,27.5,0.25,0.4473684210526315,0.0006925207756232686,0,0
ER_dense,SA,4,0.08668480749997798,3.163085310090352e-05,29,1,0.5263157894736842,0.0027700831024930774,0,0
ER_sparse,ACO,4,0.1796385242500378,0.00011127757163802489,17,0,0.09791666666666667,0.0012543402777777776,1,0
ER_sparse,GA,4,0.03126852600001939,6.025382185180316e-06,17,0,0.09791666666666667,0.0012543402777777776,0,0
ER_sparse,SA,4,0.023226988749968314,3.7043047086725107e-06,19,0.5,0.22604166666666667,0.001097005208333333,13.25,233.6875
Grid_structured,ACO,4,0.966600418999974,0.002278240988551454,32,0,0.0,0.0,13.5,13.25
Grid_structured,GA,4,0.11013060975000144,5.8642018580962065e-05,32,0,0.0,0.0,4.75,8.1875
Grid_structured,SA,4,0.07815081400002555,2.7695165919219216e-05,32,0,0.0,0.0,0,0
WS_small_world,ACO,4,0.8715661095000655,0.0031854581086795623,35.5,0.25,0.31481481481481477,0.0003429355281207133,2.5,2.25
WS_small_world,GA,4,0.10242843350010844,7.899287906790908e-06,35.5,0.25,0.31481481481481477,0.0003429355281207133,1,1.5
WS_small_world,SA,4,0.0904239822500017,6.614499365383679e-06,38,0,0.4074074074074074,0.0,0,0
